block_id,dataset,backbone,pred_len,seed,val_order,condition,arms,realised_mse,rel_gain_vs_best_fixed,oracle_headroom_pct,best_fixed_mse,oracle_mse,random_arm_mse,best_fixed_arm,oracle_match_acc,n_arms
ETTm2_h192_DLinear,ETTm2,DLinear,192,2021,deterministic,defect,fredf|none|revin|san_lite,0.24814728936986924,-0.9061549666436997,13.803618298670704,0.2459188831958751,0.21197317923516265,0.2569112317784253,revin,0.251213699355636,4
ETTm2_h192_DLinear,ETTm2,DLinear,192,2021,deterministic,control,fredf|none|revin|san_lite,0.24991040138130033,-1.6231035752736298,13.803618298670704,0.2459188831958751,0.21197317923516265,0.2569112317784253,revin,0.24609409480095332,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2021,deterministic,index,fredf|none|revin|san_lite,0.31276728391753916,-1.9771933855495822,14.823361527988943,0.30670316914395396,0.26123944956394624,0.32699468587839514,revin,0.32579347340187753,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2021,deterministic,defect,fredf|none|revin|san_lite,0.3106290604181464,-1.2800295755502311,14.823361527988943,0.30670316914395396,0.26123944956394624,0.32699468587839514,revin,0.30764416629414393,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2021,deterministic,control,fredf|none|revin|san_lite,0.3155980532773249,-2.900160490091324,14.823361527988943,0.30670316914395396,0.26123944956394624,0.32699468587839514,revin,0.3138131426016987,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2021,shuffled,index,fredf|none|revin|san_lite,0.3113200543522435,-1.5826362251189903,14.979131778287897,0.30646975302188645,0.2605632448561446,0.33171551720741727,revin,0.32409476978095664,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2021,shuffled,defect,fredf|none|revin|san_lite,0.3098385453777064,-1.099225069555023,14.979131778287897,0.30646975302188645,0.2605632448561446,0.33171551720741727,revin,0.33124720607957087,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2021,shuffled,control,fredf|none|revin|san_lite,0.31461592439926783,-2.65806700239016,14.979131778287897,0.30646975302188645,0.2605632448561446,0.33171551720741727,revin,0.3296379079123827,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2022,deterministic,index,fredf|none|revin|san_lite,0.3132504395860804,-2.177230026073673,14.773650591737821,0.3065755839203557,0.2612831783523824,0.3273840302813783,revin,0.31050514081358965,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2022,deterministic,defect,fredf|none|revin|san_lite,0.3123893835686337,-1.8963674712557486,14.773650591737821,0.3065755839203557,0.2612831783523824,0.3273840302813783,revin,0.3196244970943228,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2022,deterministic,control,fredf|none|revin|san_lite,0.3142334544617361,-2.497873589101541,14.773650591737821,0.3065755839203557,0.2612831783523824,0.3273840302813783,revin,0.3146177916852928,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2022,shuffled,index,fredf|none|revin|san_lite,0.31294089862922764,-2.0223969861540243,14.52835854559867,0.30673744969126576,0.26217353320649334,0.3290303789025067,revin,0.32713455520786766,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2022,shuffled,defect,fredf|none|revin|san_lite,0.3113789319832196,-1.5131775714460434,14.52835854559867,0.30673744969126576,0.26217353320649334,0.3290303789025067,revin,0.316227089852481,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2022,shuffled,control,fredf|none|revin|san_lite,0.31230755099492996,-1.8159182418940238,14.52835854559867,0.30673744969126576,0.26217353320649334,0.3290303789025067,revin,0.34045596781403664,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2023,deterministic,index,fredf|none|revin|san_lite,0.31345406429384987,-2.1954127572070576,14.940014691373039,0.30672028796296863,0.2608962318798794,0.32967632074828296,revin,0.3105945462673223,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2023,deterministic,defect,fredf|none|revin|san_lite,0.31128311075893,-1.4876168858162584,14.940014691373039,0.30672028796296863,0.2608962318798794,0.32967632074828296,revin,0.3287438533750559,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2023,deterministic,control,fredf|none|revin|san_lite,0.31757660296861756,-3.539483833217987,14.940014691373039,0.30672028796296863,0.2608962318798794,0.32967632074828296,revin,0.32552525704067947,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2023,shuffled,index,fredf|none|revin|san_lite,0.31280100435804564,-1.9784070187760487,15.237422443665553,0.3067325853604022,0.2599944455566607,0.33112671809553246,revin,0.3139025480554314,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2023,shuffled,defect,fredf|none|revin|san_lite,0.3133478270516392,-2.15668044641044,15.237422443665553,0.3067325853604022,0.2599944455566607,0.33112671809553246,revin,0.29798837729101474,4
ETTm2_h336_DLinear,ETTm2,DLinear,336,2023,shuffled,control,fredf|none|revin|san_lite,0.31709842141825917,-3.379437514171307,15.237422443665553,0.3067325853604022,0.2599944455566607,0.33112671809553246,revin,0.3088958426464014,4
ETTm2_h336_PatchTST,ETTm2,PatchTST,336,2021,deterministic,index,fredf|none|san_lite,0.30694939100987473,-1.2410291299131995,5.510060717525092,0.30318675506152265,0.28648098077013867,0.30890287793179133,none,0.3618238712561466,3
ETTm2_h336_PatchTST,ETTm2,PatchTST,336,2021,deterministic,defect,fredf|none|san_lite,0.30907588965914373,-1.9424115662394483,5.510060717525092,0.30318675506152265,0.28648098077013867,0.30890287793179133,none,0.3473401877514528,3
ETTm2_h336_PatchTST,ETTm2,PatchTST,336,2021,deterministic,control,fredf|none|san_lite,0.3045930790565458,-0.46384743777405146,5.510060717525092,0.30318675506152265,0.28648098077013867,0.30890287793179133,none,0.3628073312472061,3
ETTm2_h336_iTransformer,ETTm2,iTransformer,336,2021,deterministic,index,fredf|none|san_lite,0.31207462515470485,-3.0292022054867567,9.523988941012737,0.30289919602821647,0.27405111009607264,0.3179653771355972,fredf,0.41072865444792134,3
ETTm2_h336_iTransformer,ETTm2,iTransformer,336,2021,deterministic,defect,fredf|none|san_lite,0.3108796965955329,-2.6347051005619035,9.523988941012737,0.30289919602821647,0.27405111009607264,0.3179653771355972,fredf,0.3968708091193563,3
ETTm2_h336_iTransformer,ETTm2,iTransformer,336,2021,deterministic,control,fredf|none|san_lite,0.3072735272810882,-1.4441541312193655,9.523988941012737,0.30289919602821647,0.27405111009607264,0.3179653771355972,fredf,0.467679928475637,3
ETTm2_h720_DLinear,ETTm2,DLinear,720,2021,deterministic,index,fredf|none|revin|san_lite,0.4084260286748652,0.4532874866936001,16.316133580679256,0.4102858028789961,0.3433430232186967,0.45212244231927456,san_lite,0.3846866030923063,4
ETTm2_h720_DLinear,ETTm2,DLinear,720,2021,deterministic,defect,fredf|none|revin|san_lite,0.40846283227183205,0.444317252601027,16.316133580679256,0.4102858028789961,0.3433430232186967,0.45212244231927456,san_lite,0.348949171373021,4
ETTm2_h720_DLinear,ETTm2,DLinear,720,2021,deterministic,control,fredf|none|revin|san_lite,0.4165315981862937,-1.5223035414510009,16.316133580679256,0.4102858028789961,0.3433430232186967,0.45212244231927456,san_lite,0.3418202018331636,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2021,deterministic,index,fredf|none|revin|san_lite,0.1804340637489925,1.346846501210872,13.848707454443,0.18289741113162405,0.15756848372225557,0.18770574902043693,fredf,0.30555798687089714,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2021,deterministic,defect,fredf|none|revin|san_lite,0.18292927249075938,-0.017420344518926715,13.848707454443,0.18289741113162405,0.15756848372225557,0.18770574902043693,fredf,0.3103719912472648,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2021,deterministic,control,fredf|none|revin|san_lite,0.18281837430250722,0.04321374951554432,13.848707454443,0.18289741113162405,0.15756848372225557,0.18770574902043693,fredf,0.3376805251641138,4
ETTm2_h96_DLinear,ETTm2,DLinear,96,2021,shuffled,index,fredf|none|revin|san_lite,0.18031379593051236,1.4217065367689188,13.198622526576736,0.1829143004973686,0.15877213242759264,0.18704082447377235,fredf,0.31282275711159735,4
