cell_id,block_id,dataset,backbone,plugin,pred_len,seed,val_order,perm_source,condition,assoc_rho_best,assoc_rho_best_feature,assoc_rho_fstd,assoc_abs_rho_mean,assoc_z_fstd,assoc_p_fstd,decile_ratio_fstd,n,rho_f_std,rho_f_range,rho_f_absdiff,rho_f_slope,rho_f_acf1,rho_f_drift,rho_f_spec_ent,rho_f_cross_corr,rho_f_last_dev,rho_f_kurtosis,spearman_test,r2_test,spearman_holdout,n_val,n_test
DLinear_ETTh2_h720_none_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,none,720,2021,deterministic,simulated,index,-0.38832746656986467,f_absdiff,-0.05307260945619818,0.1495656513362276,-2.46659199076351,0.013640568609952792,1.0003871403773763,2161,-0.05307260945619818,-0.1452386399411997,-0.38832746656986467,-0.17643937018989728,0.029140601080584153,0.22835080686607048,-0.04575894287243531,-0.134246881559204,0.0613360584091727,0.23374513641764946,-0.20887116931932584,-2.2747796901833564,0.03344480425637537,2161,2161
DLinear_ETTh2_h720_none_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,none,720,2021,deterministic,simulated,defect,0.0347997388173695,f_kurtosis,-0.012151084058693985,0.019602389871091003,-0.5647313543722587,0.5722565043249108,1.0602634410001734,2161,-0.012151084058693985,0.0028228221411447443,0.025834545854860134,-0.015520164957150435,-0.006551477240529786,0.022346569592647466,0.012992267449263281,0.034016491767244,0.028988736832006704,0.0347997388173695,0.2875414318183021,-1.1795325235243839,-0.003102772781751557,2161,2161
DLinear_ETTh2_h720_none_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,none,720,2021,deterministic,simulated,control,-0.02188283748254228,f_drift,-0.0038952988315606517,0.01209450857519406,-0.18103713003762736,0.8563384319556689,1.042360166337018,2161,-0.0038952988315606517,0.01666060401553274,0.00380223777465093,-0.0040492891843745705,-0.010120804339002991,-0.02188283748254228,0.020811585356021862,-0.003737606821874178,-0.019917677434219308,0.016067144512161104,0.1606375489443264,-1.0311473378151188,-0.026188967430138342,2161,2161
DLinear_ETTh2_h720_revin_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,revin,720,2021,deterministic,simulated,index,0.26435410023482747,f_drift,0.2125456690281644,0.16321745629179304,9.87823003745513,5.17386613995716e-23,1.3349017017241873,2161,0.2125456690281644,0.1747646377972287,-0.025024240917765474,-0.12567975761840938,0.09699619760288643,0.26435410023482747,-0.2458889265594606,0.2628453522196076,0.10574551488322907,0.11833016605635108,0.3911471512275434,-0.5035980127795934,-0.07647553160364699,2161,2161
DLinear_ETTh2_h720_revin_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,revin,720,2021,deterministic,simulated,defect,0.04803317878410524,f_kurtosis,0.0007109630733745208,0.017316614466235388,0.033042577715375526,0.973640634057451,0.960074549572027,2161,0.0007109630733745208,0.020858189546079074,-0.0029197285302593385,-0.03852218347195105,0.008925402232047963,-0.007261468822203414,0.003600492124163155,-0.005026744203357542,-0.0373077938748126,0.04803317878410524,0.002567364266076474,-0.3981452153396581,-0.013415836322043176,2161,2161
DLinear_ETTh2_h720_revin_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,revin,720,2021,deterministic,simulated,control,-0.050977282600015245,f_drift,-0.03056389706630434,0.02004186246733288,-1.4204815719959332,0.1554675297666793,1.000922276551796,2161,-0.03056389706630434,-0.00697072856762405,0.0006757325273353031,-0.002369475393054602,-0.02491453489044071,-0.050977282600015245,0.029984805964925747,-0.027222982292595795,-0.008179246663716756,0.018559938707316256,-0.16322375546630688,-0.5899838547366816,0.011836145564444123,2161,2161
DLinear_ETTh2_h720_san_lite_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,san_lite,720,2021,deterministic,simulated,index,0.26583970843548266,f_cross_corr,0.2063111941671115,0.15959788940981057,9.588477829744651,8.939406708283644e-22,1.3554777108419256,2161,0.2063111941671115,0.1673786576296535,-0.023362949679964235,-0.11877717352658716,0.10131299778842352,0.24953927273631846,-0.24994340733840809,0.26583970843548266,0.11336075888888746,0.10015277390726923,0.3905837416706776,-0.5640310485670408,-0.13521728402227765,2161,2161
DLinear_ETTh2_h720_san_lite_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,san_lite,720,2021,deterministic,simulated,defect,-0.035260586179780236,f_absdiff,-0.014178140138236726,0.014235190404482952,-0.6589404076270291,0.5099340367112051,1.0399040481158088,2161,-0.014178140138236726,-0.0034450407758296678,-0.035260586179780236,-0.005905588652862779,0.008551254261186149,0.022304193766766556,0.009273178424522514,-0.003646561283242317,0.03452857491228393,-0.005258785650118679,-0.016682664972581675,-0.3486363476571941,0.04056395954454037,2161,2161
DLinear_ETTh2_h720_san_lite_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,san_lite,720,2021,deterministic,simulated,control,-0.04995240760852323,f_drift,-0.03027692055823411,0.020201621475961815,-1.407144109157828,0.15938466080200486,1.006102145493924,2161,-0.03027692055823411,-0.006429353151548047,-0.0017002507899285823,-0.0028769198733146284,-0.02425248648366093,-0.04995240760852323,0.028807053614783872,-0.027101385301979808,-0.008241495856546276,0.02237794152109868,-0.12921232163100785,-0.5800681511555998,0.022022213717942992,2161,2161
DLinear_ETTh2_h96_fredf_s2021_det,ETTh2_h96_DLinear,ETTh2,DLinear,fredf,96,2021,deterministic,simulated,index,0.20890303249030942,f_drift,0.15165646109125694,0.10125450122295795,8.001944464876985,1.2246962292385045e-15,1.306361294433393,2785,0.15165646109125694,0.11528312292136385,0.019639340380331397,0.00012952266754301603,0.14410552664493678,0.20890303249030942,-0.08875488594615487,0.11131125273517144,0.08714522227060952,0.08561664508190252,0.26436051194954435,-0.05688229121568744,-0.2594775994088798,2785,2785
