dataset,backbone,plugin,pred_len,seed,val_order,cell_id,mse,val_mse,best_epoch,epochs_run,n_val_windows,n_test_windows,n_train_windows,n_params,loader_shuffled_val,seq_len,batch_size,plugin_kind,train_seconds,device,truncated,timestamp,winerr_dir,block_id
ETTh1,DLinear,san_lite,96,2022,shuffled,DLinear_ETTh1_h96_san_lite_s2022_shuf,0.41114513813516795,0.7450256588989581,9,10,2785,2785,8449,18624,True,96,32,io,79.5,cuda:0,False,2026-09-16 22:59:46,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_san_lite_s2022_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,san_lite,96,2023,deterministic,DLinear_ETTh1_h96_san_lite_s2023_det,0.4103692986816996,0.7444354571042188,9,10,2785,2785,8449,18624,False,96,32,io,78.1,cuda:0,False,2026-09-16 22:59:45,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_san_lite_s2023_det,ETTh1_h96_DLinear
ETTh1,DLinear,san_lite,96,2023,shuffled,DLinear_ETTh1_h96_san_lite_s2023_shuf,0.4103544625928588,0.7444238230765676,9,10,2785,2785,8449,18624,True,96,32,io,77.5,cuda:0,False,2026-09-16 22:59:55,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_san_lite_s2023_shuf,ETTh1_h96_DLinear
ETTh2,DLinear,fredf,192,2021,deterministic,DLinear_ETTh2_h192_fredf_s2021_det,0.40827580072836345,0.2970514646907541,9,10,2689,2689,8353,37248,False,96,32,loss,53.5,cuda:0,False,2026-09-16 22:28:44,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h192_fredf_s2021_det,ETTh2_h192_DLinear
ETTh2,DLinear,none,192,2021,deterministic,DLinear_ETTh2_h192_none_s2021_det,0.48062508582781743,0.32852490797044365,4,8,2689,2689,8353,37248,False,96,32,io,32.3,cuda:0,False,2026-09-16 22:27:43,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h192_none_s2021_det,ETTh2_h192_DLinear
ETTh2,DLinear,revin,192,2021,deterministic,DLinear_ETTh2_h192_revin_s2021_det,0.37928197413815407,0.2756196832274337,9,10,2689,2689,8353,37262,False,96,32,io,54.7,cuda:0,False,2026-09-16 22:28:38,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h192_revin_s2021_det,ETTh2_h192_DLinear
ETTh2,DLinear,san_lite,192,2021,deterministic,DLinear_ETTh2_h192_san_lite_s2021_det,0.38380494555401196,0.280948216822793,9,10,2689,2689,8353,37248,False,96,32,io,57.4,cuda:0,False,2026-09-16 22:28:49,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h192_san_lite_s2021_det,ETTh2_h192_DLinear
ETTh2,DLinear,fredf,336,2021,deterministic,DLinear_ETTh2_h336_fredf_s2021_det,0.4988290451402811,0.40044871228129636,9,10,2545,2545,8209,65184,False,96,32,loss,61.8,cuda:0,False,2026-09-16 22:29:50,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h336_fredf_s2021_det,ETTh2_h336_DLinear
ETTh2,DLinear,none,336,2021,deterministic,DLinear_ETTh2_h336_none_s2021_det,0.5943823135490383,0.4352049727330458,1,5,2545,2545,8209,65184,False,96,32,io,30.5,cuda:0,False,2026-09-16 22:28:24,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h336_none_s2021_det,ETTh2_h336_DLinear
ETTh2,DLinear,revin,336,2021,deterministic,DLinear_ETTh2_h336_revin_s2021_det,0.41740604114773366,0.3647301037838622,9,10,2545,2545,8209,65198,False,96,32,io,65.5,cuda:0,False,2026-09-16 22:29:40,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh2_h336_revin_s2021_det,ETTh2_h336_DLinear
