cell_id,dataset,backbone,plugin,pred_len,seed,val_order,split,n,variant,r,z,p,null_sd,reject
DLinear_ETTh1_h336_none_s2023_det,ETTh1,DLinear,none,336,2023,deterministic,val,2545,full_permutation,0.03895053820581906,1.9855204895079746,0.023543296403493858,0.01981526767148848,1
DLinear_ETTh1_h336_none_s2023_det,ETTh1,DLinear,none,336,2023,deterministic,test,2545,index_order,0.9983059711984714,50.40105363755746,0.0,0.01981504315646439,1
DLinear_ETTh1_h336_none_s2023_det,ETTh1,DLinear,none,336,2023,deterministic,test,2545,full_permutation,-0.015762258501878488,-0.7756317571207616,0.781016778012948,0.01981504315646439,0
DLinear_ETTh1_h336_none_s2023_shuf,ETTh1,DLinear,none,336,2023,shuffled,val,2545,index_order,0.9994285293958679,50.4575138894507,0.0,0.019815118385488068,1
DLinear_ETTh1_h336_none_s2023_shuf,ETTh1,DLinear,none,336,2023,shuffled,val,2545,full_permutation,0.016052146384249892,0.8299333784096954,0.20328822590473822,0.019815118385488068,0
DLinear_ETTh1_h336_none_s2023_shuf,ETTh1,DLinear,none,336,2023,shuffled,val,2545,observed_loader_order,-0.016321627500030803,-0.8038582172029842,0.7892605684349681,0.019815118385488068,0
DLinear_ETTh1_h336_none_s2023_shuf,ETTh1,DLinear,none,336,2023,shuffled,test,2545,index_order,0.9982327952269895,50.397522775268044,0.0,0.019814979427482077,1
DLinear_ETTh1_h336_none_s2023_shuf,ETTh1,DLinear,none,336,2023,shuffled,test,2545,full_permutation,0.034100247993348425,1.7407704045614465,0.04086191580679863,0.019814979427482077,1
DLinear_ETTh1_h336_revin_s2021_det,ETTh1,DLinear,revin,336,2021,deterministic,val,2545,index_order,0.9993063909911869,50.45924600323415,0.0,0.01981201765654838,1
DLinear_ETTh1_h336_revin_s2021_det,ETTh1,DLinear,revin,336,2021,deterministic,val,2545,full_permutation,0.021680750928904313,1.1141637905119994,0.13260446315016478,0.01981201765654838,0
DLinear_ETTh1_h336_revin_s2021_det,ETTh1,DLinear,revin,336,2021,deterministic,test,2545,index_order,0.9973770313167613,50.360939036700934,0.0,0.01981238102710187,1
DLinear_ETTh1_h336_revin_s2021_det,ETTh1,DLinear,revin,336,2021,deterministic,test,2545,full_permutation,0.002943165348260667,0.16839203247218076,0.43313743788591075,0.01981238102710187,0
DLinear_ETTh1_h336_revin_s2021_shuf,ETTh1,DLinear,revin,336,2021,shuffled,val,2545,index_order,0.9993038097482533,50.459130167463286,0.0,0.019812011982598094,1
DLinear_ETTh1_h336_revin_s2021_shuf,ETTh1,DLinear,revin,336,2021,shuffled,val,2545,full_permutation,-0.010131273917194391,-0.49152969242809136,0.6884740716893678,0.019812011982598094,0
DLinear_ETTh1_h336_revin_s2021_shuf,ETTh1,DLinear,revin,336,2021,shuffled,val,2545,observed_loader_order,-0.004839755773461421,-0.2244433334868197,0.5887938223070415,0.019812011982598094,0
DLinear_ETTh1_h336_revin_s2021_shuf,ETTh1,DLinear,revin,336,2021,shuffled,test,2545,index_order,0.9973656914126751,50.36033890063807,0.0,0.019812391952768207,1
DLinear_ETTh1_h336_revin_s2021_shuf,ETTh1,DLinear,revin,336,2021,shuffled,test,2545,full_permutation,-0.00015042213187333218,0.012247871418627598,0.49511392840671636,0.019812391952768207,0
DLinear_ETTh1_h336_revin_s2022_det,ETTh1,DLinear,revin,336,2022,deterministic,val,2545,index_order,0.9993149882476157,50.45972360127496,0.0,0.01981200051566201,1
DLinear_ETTh1_h336_revin_s2022_det,ETTh1,DLinear,revin,336,2022,deterministic,val,2545,full_permutation,-0.012010456791496224,-0.586380715127987,0.7211901495606172,0.01981200051566201,0
DLinear_ETTh1_h336_revin_s2022_det,ETTh1,DLinear,revin,336,2022,deterministic,test,2545,index_order,0.9974161655396,50.3629637339398,0.0,0.019812361571330216,1
DLinear_ETTh1_h336_revin_s2022_det,ETTh1,DLinear,revin,336,2022,deterministic,test,2545,full_permutation,-0.022592828546783364,-1.1204997801928651,0.8687495768942081,0.019812361571330216,0
DLinear_ETTh1_h336_revin_s2022_shuf,ETTh1,DLinear,revin,336,2022,shuffled,val,2545,index_order,0.9993090976870999,50.45941825004645,0.0,0.019812003667862062,1
DLinear_ETTh1_h336_revin_s2022_shuf,ETTh1,DLinear,revin,336,2022,shuffled,val,2545,full_permutation,0.02767782187157097,1.4168634381040588,0.07826142895497724,0.01981200366786206,0
DLinear_ETTh1_h336_revin_s2022_shuf,ETTh1,DLinear,revin,336,2022,shuffled,val,2545,observed_loader_order,-0.0057967824591182325,-0.27274882382933985,0.6074768494732059,0.01981200366786206,0
DLinear_ETTh1_h336_revin_s2022_shuf,ETTh1,DLinear,revin,336,2022,shuffled,test,2545,index_order,0.9973995214598943,50.36212497186897,0.0,0.01981236105065548,1
DLinear_ETTh1_h336_revin_s2022_shuf,ETTh1,DLinear,revin,336,2022,shuffled,test,2545,full_permutation,-0.012527051915882256,-0.6124444292051967,0.729878122927959,0.01981236105065548,0
DLinear_ETTh1_h336_revin_s2023_det,ETTh1,DLinear,revin,336,2023,deterministic,val,2545,index_order,0.9993027939636577,50.45910885536339,0.0,0.019812000219627434,1
DLinear_ETTh1_h336_revin_s2023_det,ETTh1,DLinear,revin,336,2023,deterministic,val,2545,full_permutation,0.004920762982734648,0.26821344058317725,0.39426751491091183,0.019812000219627434,0
DLinear_ETTh1_h336_revin_s2023_det,ETTh1,DLinear,revin,336,2023,deterministic,test,2545,index_order,0.9973840162452255,50.36130939866021,0.0,0.019812374021251643,1
DLinear_ETTh1_h336_revin_s2023_det,ETTh1,DLinear,revin,336,2023,deterministic,test,2545,full_permutation,-0.004708250546860716,-0.2178017021698552,0.58620819086858,0.019812374021251643,0
DLinear_ETTh1_h336_revin_s2023_shuf,ETTh1,DLinear,revin,336,2023,shuffled,val,2545,index_order,0.9993129110889407,50.4595730506055,0.0,0.019812018461736684,1
DLinear_ETTh1_h336_revin_s2023_shuf,ETTh1,DLinear,revin,336,2023,shuffled,val,2545,full_permutation,-0.0011834479685978755,-0.03989327029540352,0.5159108918199287,0.019812018461736684,0
DLinear_ETTh1_h336_revin_s2023_shuf,ETTh1,DLinear,revin,336,2023,shuffled,val,2545,observed_loader_order,-0.002131409072653288,-0.087741050464104,0.5349587540655972,0.019812018461736684,0
DLinear_ETTh1_h336_revin_s2023_shuf,ETTh1,DLinear,revin,336,2023,shuffled,test,2545,index_order,0.9974106555125867,50.36262657574013,0.0,0.01981238480032411,1
DLinear_ETTh1_h336_revin_s2023_shuf,ETTh1,DLinear,revin,336,2023,shuffled,test,2545,full_permutation,-0.008437864316035331,-0.4060481681588093,0.6576463956740162,0.01981238480032411,0
