cell_id,draw,condition,assoc_rho_fstd,spearman_test
DLinear_ETTh1_h336_fredf_s2023_shuf,4,control,-0.01021762202890181,0.030259369262005655
DLinear_ETTh1_h336_fredf_s2023_shuf,5,defect,0.03701760680543645,-0.12780205998713648
DLinear_ETTh1_h336_fredf_s2023_shuf,5,control,0.023599521992505843,-0.277698839930174
DLinear_ETTh1_h336_fredf_s2023_shuf,6,defect,-0.018806654302502775,-0.04574266485073186
DLinear_ETTh1_h336_fredf_s2023_shuf,6,control,-0.0037430862885409837,0.12131276067262864
DLinear_ETTh1_h336_fredf_s2023_shuf,7,defect,0.01406492775944455,-0.10594996077897346
DLinear_ETTh1_h336_fredf_s2023_shuf,7,control,0.03594489338492965,-0.019531581391851734
DLinear_ETTh1_h336_none_s2021_det,0,defect,0.05257563606087184,-0.010890659257833798
DLinear_ETTh1_h336_none_s2021_det,0,control,0.03260441723348692,0.19230933654995183
DLinear_ETTh1_h336_none_s2021_det,1,defect,-0.005511786960239993,-0.040108342482413566
DLinear_ETTh1_h336_none_s2021_det,1,control,-0.03698516885627251,0.06929553924159623
DLinear_ETTh1_h336_none_s2021_det,2,defect,0.0031813155199764153,0.10402430598239241
DLinear_ETTh1_h336_none_s2021_det,2,control,0.014646645839327618,-0.21651168526669454
DLinear_ETTh1_h336_none_s2021_det,3,defect,-0.03027318214483193,0.29780451957046145
DLinear_ETTh1_h336_none_s2021_det,3,control,-0.003853982740119517,0.12702904390099914
DLinear_ETTh1_h336_none_s2021_det,4,defect,0.018250871148827976,0.028497671959400124
DLinear_ETTh1_h336_none_s2021_det,4,control,-0.00017049232914098853,-0.19333971508138043
DLinear_ETTh1_h336_none_s2021_det,5,defect,0.022710821627139763,0.03493088475776212
DLinear_ETTh1_h336_none_s2021_det,5,control,-0.00690793350164367,-0.05525964679506319
DLinear_ETTh1_h336_none_s2021_det,6,defect,-0.016980365515170303,-0.08521211297527637
DLinear_ETTh1_h336_none_s2021_det,6,control,0.04641926215637241,0.03260963800520562
DLinear_ETTh1_h336_none_s2021_det,7,defect,-0.0018739087071378859,-0.26210561815823546
DLinear_ETTh1_h336_none_s2021_det,7,control,0.015291911258611643,0.15181668922803626
DLinear_ETTh1_h336_none_s2021_shuf,0,defect,0.020487459699529906,-0.14872400908785005
DLinear_ETTh1_h336_none_s2021_shuf,0,control,0.0188759140813007,-0.0033475769718615688
DLinear_ETTh1_h336_none_s2021_shuf,1,defect,0.00994332520493076,-0.18736284849131452
DLinear_ETTh1_h336_none_s2021_shuf,1,control,0.036696366352752086,-0.20237296133721663
DLinear_ETTh1_h336_none_s2021_shuf,2,defect,0.03812277127870207,0.037628411305169154
DLinear_ETTh1_h336_none_s2021_shuf,2,control,-0.025654362954029,0.0710829375113687
DLinear_ETTh1_h336_none_s2021_shuf,3,defect,-0.002196178519999041,-0.05348537904017603
DLinear_ETTh1_h336_none_s2021_shuf,3,control,-0.003165096181405701,0.06819037921797914
DLinear_ETTh1_h336_none_s2021_shuf,4,defect,-0.03375196382848721,-0.10626558110510034
DLinear_ETTh1_h336_none_s2021_shuf,4,control,0.0174869337503499,-0.0005471216922852259
DLinear_ETTh1_h336_none_s2021_shuf,5,defect,0.010975892850565059,-0.24643291233961395
DLinear_ETTh1_h336_none_s2021_shuf,5,control,-0.03722083045867153,0.013232951248369968
DLinear_ETTh1_h336_none_s2021_shuf,6,defect,-0.02671356802415347,-0.042546706580479876
DLinear_ETTh1_h336_none_s2021_shuf,6,control,0.01943294062053558,-0.2247666943706453
DLinear_ETTh1_h336_none_s2021_shuf,7,defect,0.0002811951387060654,-0.04698884723843566
DLinear_ETTh1_h336_none_s2021_shuf,7,control,-0.012945736615820736,-0.37866525343714513
DLinear_ETTh1_h336_none_s2022_det,0,defect,0.0072699188546782485,0.025550811863837855
DLinear_ETTh1_h336_none_s2022_det,0,control,-0.03061853612403408,-0.04594258818266632
DLinear_ETTh1_h336_none_s2022_det,1,defect,-0.018576683300175898,0.10902217628751312
DLinear_ETTh1_h336_none_s2022_det,1,control,-0.014554658603160858,0.005582180845540205
DLinear_ETTh1_h336_none_s2022_det,2,defect,0.01811156901542587,0.10651013903585389
DLinear_ETTh1_h336_none_s2022_det,2,control,-0.0075026656351905,-0.0960646024096795
DLinear_ETTh1_h336_none_s2022_det,3,defect,0.003470537338533499,0.13790886217697093
DLinear_ETTh1_h336_none_s2022_det,3,control,-0.011610842828756306,0.015594314581969804
DLinear_ETTh1_h336_none_s2022_det,4,defect,-0.01604680863256678,-0.07457652388408925
DLinear_ETTh1_h336_none_s2022_det,4,control,0.005140995263458112,0.19051588056419827
DLinear_ETTh1_h336_none_s2022_det,5,defect,0.01670706893227628,0.1047247746401675
DLinear_ETTh1_h336_none_s2022_det,5,control,0.0528655130591737,-0.07115313190430263
DLinear_ETTh1_h336_none_s2022_det,6,defect,-0.012375473261808862,-0.0836226858272209
DLinear_ETTh1_h336_none_s2022_det,6,control,-0.015260159792224734,-0.05225076072175707
DLinear_ETTh1_h336_none_s2022_det,7,defect,0.004201214173279201,-0.03217369351363063
DLinear_ETTh1_h336_none_s2022_det,7,control,-0.019417880950113126,0.23680297629030927
DLinear_ETTh1_h336_none_s2022_shuf,0,defect,-0.03871712741891946,0.048061489155823575
DLinear_ETTh1_h336_none_s2022_shuf,0,control,-0.014004709827662085,0.034314837159137454
DLinear_ETTh1_h336_none_s2022_shuf,1,defect,-0.005758035540385053,-0.10997833532392351
DLinear_ETTh1_h336_none_s2022_shuf,1,control,-0.007835315680567397,-0.09820798846024618
DLinear_ETTh1_h336_none_s2022_shuf,2,defect,-0.0037208906194088395,0.08145593650016476
DLinear_ETTh1_h336_none_s2022_shuf,2,control,-0.013679304251685455,0.28564037265033765
DLinear_ETTh1_h336_none_s2022_shuf,3,defect,0.010028834535190597,0.1655932940175554
DLinear_ETTh1_h336_none_s2022_shuf,3,control,0.0075688748256764835,0.15487972956007692
